Zonas turísticas;País de residencia;Meses;Total
Andalucía: Costa de Almería;República Checa;Julio;1.487
Andalucía: Costa de Almería;República Checa;Agosto;1.812
Andalucía: Costa de Almería;República Checa;Septiembre;903
Andalucía: Costa de Almería;República Checa;Octubre;254
Andalucía: Costa de Almería;República Checa;Noviembre;22
Andalucía: Costa de Almería;República Checa;Diciembre;40
Andalucía: Costa de Almería;Suecia;Total;5.035
Andalucía: Costa de Almería;Suecia;Enero;182
Andalucía: Costa de Almería;Suecia;Febrero;479
Andalucía: Costa de Almería;Suecia;Marzo;680
Andalucía: Costa de Almería;Suecia;Abril;530
Andalucía: Costa de Almería;Suecia;Mayo;393
Andalucía: Costa de Almería;Suecia;Junio;173
Andalucía: Costa de Almería;Suecia;Julio;307
Andalucía: Costa de Almería;Suecia;Agosto;86
Andalucía: Costa de Almería;Suecia;Septiembre;269
Andalucía: Costa de Almería;Suecia;Octubre;868
Andalucía: Costa de Almería;Suecia;Noviembre;747
Andalucía: Costa de Almería;Suecia;Diciembre;322
Andalucía: Costa de Almería;Noruega;Total;2.080
Andalucía: Costa de Almería;Noruega;Enero;46
Andalucía: Costa de Almería;Noruega;Febrero;86
Andalucía: Costa de Almería;Noruega;Marzo;107
Andalucía: Costa de Almería;Noruega;Abril;97
Andalucía: Costa de Almería;Noruega;Mayo;124
Andalucía: Costa de Almería;Noruega;Junio;189
Andalucía: Costa de Almería;Noruega;Julio;421
Andalucía: Costa de Almería;Noruega;Agosto;147
Andalucía: Costa de Almería;Noruega;Septiembre;182
Andalucía: Costa de Almería;Noruega;Octubre;526
Andalucía: Costa de Almería;Noruega;Noviembre;68
Andalucía: Costa de Almería;Noruega;Diciembre;86
Andalucía: Costa de Almería;Reino Unido;Total;61.119
Andalucía: Costa de Almería;Reino Unido;Enero;1.016
Andalucía: Costa de Almería;Reino Unido;Febrero;1.501
Andalucía: Costa de Almería;Reino Unido;Marzo;1.795
Andalucía: Costa de Almería;Reino Unido;Abril;2.927
Andalucía: Costa de Almería;Reino Unido;Mayo;8.588
Andalucía: Costa de Almería;Reino Unido;Junio;9.402
Andalucía: Costa de Almería;Reino Unido;Julio;7.152
Andalucía: Costa de Almería;Reino Unido;Agosto;8.363
Andalucía: Costa de Almería;Reino Unido;Septiembre;10.442
Andalucía: Costa de Almería;Reino Unido;Octubre;7.019
Andalucía: Costa de Almería;Reino Unido;Noviembre;1.940
Andalucía: Costa de Almería;Reino Unido;Diciembre;973
Andalucía: Costa de Almería;Suiza;Total;3.690
Andalucía: Costa de Almería;Suiza;Enero;169
Andalucía: Costa de Almería;Suiza;Febrero;141
Andalucía: Costa de Almería;Suiza;Marzo;343
Andalucía: Costa de Almería;Suiza;Abril;476
Andalucía: Costa de Almería;Suiza;Mayo;335
Andalucía: Costa de Almería;Suiza;Junio;309
Andalucía: Costa de Almería;Suiza;Julio;471
Andalucía: Costa de Almería;Suiza;Agosto;272
Andalucía: Costa de Almería;Suiza;Septiembre;612
Andalucía: Costa de Almería;Suiza;Octubre;297
Andalucía: Costa de Almería;Suiza;Noviembre;132
Andalucía: Costa de Almería;Suiza;Diciembre;132
Andalucía: Costa de Almería;Resto de Europa sin U.E.;Total;8.934
Andalucía: Costa de Almería;Resto de Europa sin U.E.;Enero;319
Andalucía: Costa de Almería;Resto de Europa sin U.E.;Febrero;289
Andalucía: Costa de Almería;Resto de Europa sin U.E.;Marzo;570
Andalucía: Costa de Almería;Resto de Europa sin U.E.;Abril;1.292
Andalucía: Costa de Almería;Resto de Europa sin U.E.;Mayo;485
Andalucía: Costa de Almería;Resto de Europa sin U.E.;Junio;1.340
Andalucía: Costa de Almería;Resto de Europa sin U.E.;Julio;1.179
Andalucía: Costa de Almería;Resto de Europa sin U.E.;Agosto;861
Andalucía: Costa de Almería;Resto de Europa sin U.E.;Septiembre;893
Andalucía: Costa de Almería;Resto de Europa sin U.E.;Octubre;982
Andalucía: Costa de Almería;Resto de Europa sin U.E.;Noviembre;423
