Sexo;Isla;Edad;Periodo;Total
Ambos sexos;Gomera, La;De 45 a 54 años;2021;65
Ambos sexos;Gomera, La;De 55 a 64 años;2023;132
Ambos sexos;Gomera, La;De 55 a 64 años;2022;107
Ambos sexos;Gomera, La;De 55 a 64 años;2021;101
Ambos sexos;Gomera, La;65 y más años;2023;91
Ambos sexos;Gomera, La;65 y más años;2022;86
Ambos sexos;Gomera, La;65 y más años;2021;87
Ambos sexos;Hierro, El;Total;2023;449
Ambos sexos;Hierro, El;Total;2022;416
Ambos sexos;Hierro, El;Total;2021;269
Ambos sexos;Hierro, El;De 0 a 15 años;2023;69
Ambos sexos;Hierro, El;De 0 a 15 años;2022;68
Ambos sexos;Hierro, El;De 0 a 15 años;2021;38
Ambos sexos;Hierro, El;De 16 a 24 años;2023;82
Ambos sexos;Hierro, El;De 16 a 24 años;2022;50
Ambos sexos;Hierro, El;De 16 a 24 años;2021;40
Ambos sexos;Hierro, El;De 25 a 34 años;2023;93
Ambos sexos;Hierro, El;De 25 a 34 años;2022;96
Ambos sexos;Hierro, El;De 25 a 34 años;2021;48
Ambos sexos;Hierro, El;De 35 a 44 años;2023;65
Ambos sexos;Hierro, El;De 35 a 44 años;2022;54
Ambos sexos;Hierro, El;De 35 a 44 años;2021;34
Ambos sexos;Hierro, El;De 45 a 54 años;2023;61
Ambos sexos;Hierro, El;De 45 a 54 años;2022;53
Ambos sexos;Hierro, El;De 45 a 54 años;2021;44
Ambos sexos;Hierro, El;De 55 a 64 años;2023;49
Ambos sexos;Hierro, El;De 55 a 64 años;2022;61
Ambos sexos;Hierro, El;De 55 a 64 años;2021;34
Ambos sexos;Hierro, El;65 y más años;2023;30
Ambos sexos;Hierro, El;65 y más años;2022;34
Ambos sexos;Hierro, El;65 y más años;2021;31
Ambos sexos;Palma, La;Total;2023;2.481
Ambos sexos;Palma, La;Total;2022;2.237
Ambos sexos;Palma, La;Total;2021;1.872
Ambos sexos;Palma, La;De 0 a 15 años;2023;382
Ambos sexos;Palma, La;De 0 a 15 años;2022;306
Ambos sexos;Palma, La;De 0 a 15 años;2021;237
Ambos sexos;Palma, La;De 16 a 24 años;2023;382
