"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Patty Mills","Uta","G","36.4","13","15.9","16","16.8","4","1","18","0.444","46","0.261","0.406","0.426","4.3","1.1","1.4","0.8","0.2","1","5.4","5.7","6.8","4.7","87","117.5"
"","Oso Ighodaro","Pho","F","22.5","32","16.8","11","16.6","31","0.581","98","0.592","2","0","0.58","0.59","4.2","3.8","1","0.5","0.4","0.6","8","5.2","9","6","117.9","109"
"","Gabe Vincent","Lal","G","28.6","33","19","11.8","13.2","8","0.5","50","0.46","94","0.319","0.472","0.475","4.2","1.3","1","0.8","0.2","0.7","5.6","5.2","6.5","3.7","93.2","110.8"
"","Kyle Lowry","Phi","G","38.8","25","19.9","10.3","17.1","25","0.8","22","0.409","65","0.338","0.483","0.531","4.2","1.8","2.7","1","0.3","0.7","6","6.9","8.7","5.5","115.6","107.7"
"","Mo Bamba","Lac","C","26.7","21","12.4","16","14.4","15","0.733","40","0.6","37","0.243","0.487","0.514","4.1","4.2","0.6","0.4","1","0.6","8.3","4.7","8.9","7","103.1","94.9"
"","Isaiah Collier","Uta","G","20.3","30","19.7","15.8","33.6","25","0.56","84","0.452","56","0.196","0.389","0.407","4.1","2.6","4.2","0.7","0.2","2.4","6.7","8.3","10.9","7.2","84.3","111.9"
"","Cody Williams","Uta","F","20.2","23","20.7","11.9","15.2","21","0.667","51","0.373","55","0.255","0.377","0.408","4.1","2.2","1.3","0.5","0.3","0.8","6.3","5.3","7.6","4.4","89.2","115.1"
"","Thomas Bryant","Mia","C-F","27.5","10","11.5","13.4","6.6","11","1","11","0.545","17","0.353","0.536","0.624","4.1","3.2","0.4","0.1","0.9","0.2","7.3","4.5","7.7","6","130.9","104.9"
"","Gary Harris","Orl","G","30.3","20","16.3","11.3","11.1","8","0.5","18","0.556","54","0.352","0.535","0.536","4.1","1.3","0.5","0.7","0.3","0.5","5.3","4.6","5.8","3.4","104.9","109.6"
"","Cam Spencer","Mem","G","24.8","10","12.1","12.8","14.1","9","1","14","0.571","16","0.313","0.517","0.589","4","1.7","1.6","0.3","0.1","0.5","5.7","5.6","7.3","7.3","125.9","107.2"
"","JT Thor","Cle","F","22.4","7","4.7","25.7","24.4","8","0.875","8","0.75","4","0.75","0.875","0.902","4","0.9","0","0.3","0.4","0.6","4.9","4","4.9","0","134.9","101.7"
"","Josh Richardson","Mia","G","31.3","8","18.7","14.1","17.2","4","1","16","0.313","22","0.273","0.368","0.402","4","1.5","1.5","1","0.1","1","5.5","5.5","7","4.4","86.9","104.4"
"","Mason Plumlee","Pho","F-C","34.9","38","17.9","10.6","25","62","0.613","101","0.564","1","0","0.559","0.588","4","6.4","1.9","0.4","0.8","0.9","10.4","5.9","12.3","8.2","122.9","103.9"
"","Reggie Jackson","Phi","G","34.8","23","11.8","17.6","16","7","0.857","35","0.429","54","0.352","0.489","0.505","4","1.3","1.6","0.5","0.1","0.7","5.3","5.7","7","6.9","101.9","108.3"
"","Aaron Holiday","Hou","G","28.3","27","10.5","14.6","11.8","17","0.882","31","0.484","51","0.392","0.549","0.587","3.9","0.9","1.1","0.3","0.1","0.4","4.8","5","5.9","6","122.2","105.9"
"","Rob Dillingham","Min","G","20","15","8.5","23","23.9","0","0","30","0.467","21","0.429","0.539","0.539","3.7","0.7","1.7","0.1","0","1.1","4.4","5.3","6.1","7.7","97","112.6"
"","Dalen Terry","Chi","F","22.5","37","13.1","13.2","22.4","36","0.694","68","0.529","39","0.333","0.519","0.554","3.7","1.5","1.1","0.5","0.2","0.8","5.1","4.8","6.2","5.6","102.9","109.7"
"","DeAndre Jordan","Den","C","36.5","27","11.3","13.3","21.1","27","0.37","67","0.642","0","0","0.642","0.609","3.6","4.3","0.9","0.3","0.4","0.7","7.9","4.4","8.8","8.5","116","102.1"
"","Andre Jackson Jr.","Mil","G","23.2","37","17.3","11.4","24","13","0.538","67","0.493","56","0.357","0.512","0.517","3.6","3.1","1.4","0.6","0.3","1.1","6.7","5","8.1","5.8","102","101.9"
"","Blake Wesley","San","G","21.8","25","10.6","17.7","22.9","21","0.714","56","0.554","21","0.19","0.481","0.516","3.6","0.9","1.9","0.4","0.1","0.9","4.4","5.4","6.3","6.9","101","112.9"
"","Jeff Dowtin Jr.","Phi","G","27.7","16","10.4","15.6","5.6","13","0.692","36","0.5","14","0.286","0.48","0.511","3.6","1.3","1","0.4","0.1","0.2","4.8","4.6","5.8","6.4","112.5","111.4"
"","Jae'Sean Tate","Hou","F","29.2","21","10.1","14.7","13.8","25","0.64","40","0.525","16","0.375","0.536","0.567","3.6","2.2","0.8","0.6","0","0.4","5.8","4.4","6.6","7.3","118.4","91.7"
"","Tre Jones","San","G","25","20","16.6","10.5","17.7","18","0.778","42","0.548","18","0.222","0.483","0.53","3.6","2.3","3.8","0.8","0.2","0.7","5.9","7.4","9.7","7.6","127.1","108.3"
"","Doug McDermott","Sac","F","33","25","8.7","15.5","5.2","5","0.6","10","0.5","63","0.413","0.603","0.605","3.6","0.6","0.2","0.2","0","0.2","4.3","3.8","4.4","3.5","115.4","109.3"
"","Micah Potter","Uta","C","26.8","15","17.1","9.3","18","3","1","8","0.625","37","0.351","0.544","0.561","3.5","3.9","0.9","0.3","0.4","0.7","7.3","4.3","8.2","5.4","112.1","115.1"
"","Bol Bol","Pho","C-F","25.2","8","6.2","22.1","13.5","6","0.667","11","0.818","8","0.25","0.632","0.647","3.5","1.5","0.1","0","0.3","0.4","5","3.6","5.1","5.2","115.7","119.3"
"","Luka Garza","Min","C","26.1","11","4.6","29.7","9.6","8","0.625","20","0.7","8","0.25","0.607","0.619","3.5","1","0.1","0.1","0","0.3","4.5","3.6","4.6","6.1","112.7","101.7"
"","Isaac Jones","Sac","F","24.5","22","8","16.8","18.3","20","0.55","45","0.689","4","0.25","0.663","0.657","3.5","1.4","0.2","0.1","0.4","0.5","4.9","3.6","5","5","112.9","105.4"
"","Dariq Whitehead","Bro","G-F","20.5","6","5.2","23.8","17.6","0","0","1","0","13","0.538","0.75","0.75","3.5","0.5","0.2","0.5","0.2","0.5","4","3.7","4.2","5.4","106.5","110.3"
"","Wendell Moore Jr.","Det","G","23.3","17","12.4","12.8","15.7","14","0.929","35","0.543","13","0.231","0.49","0.554","3.5","2.6","1.3","0.6","0.2","0.5","6.1","4.8","7.4","7.4","117.3","108.4"
"","Jeff Green","Hou","F","38.4","11","8.5","13.9","10.6","8","0.75","10","0.8","15","0.333","0.62","0.649","3.4","1.2","0.1","0.3","0","0.3","4.5","3.5","4.6","3.5","122.6","103.6"
"","Cam Reddish","Lal","F-G","25.4","29","18.6","8.6","12.3","21","0.619","40","0.575","45","0.289","0.5","0.52","3.4","2.1","0.8","1","0.3","0.4","5.5","4.2","6.3","3.8","107.4","111.1"
"","Moussa Diabate","Cha","F","23","30","17.9","8.9","26.2","25","0.44","76","0.605","0","0","0.605","0.592","3.4","6.8","0.6","0.6","0.7","0.9","10.3","4.1","10.9","5.4","116.7","105.3"
"","Brandon Williams","Dal","G","25.1","11","6.4","22.4","15.5","11","0.727","18","0.556","9","0.333","0.537","0.581","3.4","0.7","0.5","0.1","0","0.5","4.1","3.9","4.6","6.6","109.9","113.4"
"","Bruno Fernando","Tor","F-C","26.4","17","8.6","19","22.1","8","0.75","49","0.531","0","0","0.531","0.552","3.4","3","1.1","0.2","0.5","0.8","6.4","4.5","7.5","10.4","107","100.2"
"","Jevon Carter","Chi","G","29.3","18","6.6","19.6","11.5","8","0.75","15","0.533","31","0.419","0.598","0.616","3.4","0.8","0.8","0.3","0.1","0.3","4.2","4.2","5","7.9","117.1","117.5"
"","Dario Saric","Den","F-C","30.8","12","14.4","16.2","21.8","6","0.833","26","0.346","24","0.25","0.36","0.389","3.4","3.6","1.4","0.6","0.1","1.2","7","4.8","8.4","7.2","84.9","105.2"
"","Shake Milton","Lal","G","28.3","4","11.2","16.4","19.6","4","0.75","3","0.667","9","0.222","0.417","0.472","3.3","2.5","1","0","0.3","0.8","5.8","4.3","6.8","7.2","92.5","114.4"
"","Kobe Brown","Lac","F","25","11","7.6","16.8","3.2","4","0.75","22","0.545","8","0.375","0.55","0.567","3.3","2.4","0.5","0.1","0.1","0.1","5.6","3.8","6.2","8.3","125.1","102.3"
"","Reed Sheppard","Hou","G","20.6","30","11.6","16.4","13.2","6","0.833","50","0.38","68","0.279","0.403","0.414","3.3","1.3","1.2","0.5","0.3","0.6","4.6","4.5","5.8","6","92.7","104.7"
"","Jabari Walker","Por","F","22.5","27","9.6","16.1","15.2","18","0.722","54","0.556","24","0.208","0.481","0.512","3.3","2.7","0.5","0.3","0.1","0.5","6","3.7","6.4","6.9","103.7","108.6"
"","Nicolas Batum","Lac","G-F","36.1","38","17.9","8.5","15.5","13","0.769","21","0.429","88","0.375","0.537","0.554","3.3","2.8","1.5","0.6","0.4","0.5","6.1","4.8","7.6","5.4","116.5","105.5"
