"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Giannis Antetokounmpo","Mil","F","30.1","32","35","36.4","14.2","335","0.588","649","0.615","25","0.16","0.601","0.613","31.5","11.9","6.2","0.8","1.5","3.5","43.3","37.7","49.5","15.1","118.1","104.4"
"","Shai Gilgeous-Alexander","Okc","G","26.5","39","34.4","33.9","11.5","315","0.895","592","0.593","225","0.356","0.576","0.64","31.4","5.5","5.9","2","1.1","2.7","36.8","37.3","42.8","11.7","125.4","101.9"
"","Nikola Jokic","Den","C","29.9","34","36.9","30.8","13","220","0.8","559","0.578","154","0.474","0.607","0.643","30.6","13.2","9.9","1.8","0.6","3.1","43.8","40.5","53.6","17.2","130.5","106.5"
"","LaMelo Ball","Cha","G","23.4","25","34","38.3","13.6","138","0.833","284","0.514","330","0.339","0.511","0.551","29.7","5.4","7.4","1.4","0.2","3.9","35.2","37.1","42.6","12.5","111","106"
"","Paolo Banchero","Orl","F","22.2","7","33.7","33.5","13.7","80","0.675","84","0.56","42","0.405","0.575","0.617","28.4","8.4","5.3","0.7","0.9","2.9","36.9","33.7","42.1","12.8","120.7","104"
"","Luka Doncic","Dal","F-G","25.9","22","35.7","32.9","13.9","146","0.767","254","0.555","212","0.354","0.544","0.584","28.1","8.3","7.8","2","0.4","3.4","36.5","36","44.3","13.7","116","105.2"
"","Jayson Tatum","Bos","F-G","26.9","36","36.4","31.1","12.4","252","0.802","357","0.569","373","0.359","0.553","0.601","28.1","9.4","5.3","1.3","0.5","2.9","37.4","33.4","42.8","12.3","118.4","103.8"
"","Kevin Durant","Pho","F","36.3","29","36.3","30.4","14.9","188","0.835","380","0.584","164","0.384","0.582","0.63","27.2","6.4","4.2","0.8","1.3","3.3","33.7","31.5","37.9","9.9","114.3","115"
"","De'Aaron Fox","Sac","G","27.1","37","37.2","30.1","13.9","218","0.807","512","0.559","237","0.325","0.536","0.579","26.5","5.2","6.1","1.5","0.4","3.3","31.7","32.5","37.8","10.1","113.2","109.6"
"","Anthony Davis","Lal","F-C","31.9","35","34.9","29.9","11.3","284","0.782","547","0.556","81","0.321","0.546","0.603","25.9","11.9","3.5","1.3","2.1","2.3","37.8","29.4","41.3","11.8","120.3","108.9"
"","Tyrese Maxey","Phi","G","24.2","31","37.4","30.5","10.7","185","0.843","350","0.494","295","0.336","0.498","0.55","25.8","3.4","5.8","2.1","0.4","2.5","29.2","31.6","35","8.5","111.6","110.8"
"","Anthony Edwards","Min","G","23.4","39","36.5","30.5","13.8","172","0.831","404","0.463","386","0.422","0.546","0.581","25.8","5.7","4.2","1.3","0.5","3.3","31.5","30","35.7","9.3","109.6","107.9"
"","Jalen Brunson","Nyk","G","28.4","40","34.9","29.6","11.5","282","0.826","489","0.53","239","0.385","0.545","0.603","25.7","3","7.6","0.8","0.1","2.4","28.7","33.3","36.3","9.6","124.3","112.5"
"","Karl-Anthony Towns","Nyk","C-F","29.2","38","34.7","27.4","13.8","232","0.836","440","0.593","185","0.449","0.617","0.664","25.4","13.9","3.3","1","0.8","2.6","39.3","28.7","42.6","12.1","126.9","100.6"
"","Devin Booker","Pho","G","28.2","34","36.7","28.9","11.2","231","0.896","363","0.51","269","0.346","0.513","0.583","25.2","4","6.9","1.2","0.3","2.4","29.1","32","36","9.7","120.1","115.8"
"","Victor Wembanyama","San","F-C","21","33","33.2","31.3","15.6","136","0.868","322","0.602","303","0.353","0.567","0.604","25.1","10.7","3.8","1.1","3.9","3.5","35.8","28.8","39.5","12.1","109.6","104.6"
"","Damian Lillard","Mil","G","34.5","31","36.2","27.9","14.6","208","0.913","253","0.51","280","0.382","0.543","0.616","24.8","4.4","7.3","1.2","0.2","2.9","29.2","32.1","36.5","10.2","121.2","110.9"
"","Cam Thomas","Bro","G","23.3","19","32.3","31.9","13.1","129","0.876","193","0.503","144","0.375","0.528","0.596","24.7","3.6","3.4","0.7","0.1","2.7","28.3","28.1","31.7","8.3","112","115.8"
"","Cade Cunningham","Det","G","23.3","36","35.5","31.7","17.8","163","0.798","489","0.497","233","0.382","0.521","0.556","24.5","6.6","9.4","0.9","0.8","4.3","31.1","33.9","40.4","13","110.5","108.7"
"","Joel Embiid","Phi","C-F","30.8","13","29.4","35.6","15.7","112","0.92","170","0.488","49","0.327","0.489","0.591","24.4","7.9","3.8","0.8","1","3.2","32.3","28.2","36.2","12.3","114.5","107"
"","Franz Wagner","Orl","F","23.4","25","33.2","31.2","11.4","135","0.881","314","0.538","159","0.321","0.519","0.573","24.4","5.6","5.7","1.7","0.5","2.4","30","30.1","35.7","11.1","115.5","103.1"
"","Tyler Herro","Mia","G","25","38","35.3","27.1","11.6","159","0.862","297","0.552","370","0.403","0.581","0.619","24","5.7","5.1","0.7","0.1","2.3","29.7","29.1","34.8","10.1","118.3","110.7"
"","Zach LaVine","Chi","G","29.9","35","33.8","26.7","14.5","140","0.807","339","0.56","255","0.455","0.613","0.641","24","4.8","4.4","0.9","0.3","2.9","28.9","28.5","33.3","9.4","114.9","116.6"
"","Norman Powell","Lac","G","31.6","31","33.1","27.4","11","141","0.844","272","0.526","253","0.443","0.592","0.631","23.9","3.5","2.3","1.3","0.2","2.1","27.4","26.2","29.6","7","117.4","108.7"
"","Kyrie Irving","Dal","G","32.8","31","35.4","26.6","10.8","113","0.894","353","0.51","214","0.435","0.563","0.6","23.9","4.5","4.8","1.3","0.4","2.2","28.4","28.7","33.2","9.1","118.9","111.3"
"","Jaylen Brown","Bos","G-F","28.2","32","35.7","29.4","12.7","179","0.754","399","0.534","210","0.319","0.515","0.554","23.8","5.9","4.8","1.3","0.3","2.8","29.7","28.6","34.4","9.8","111.3","107.1"
"","LeBron James","Lal","F","40","34","34.8","29.6","17.4","147","0.762","415","0.564","192","0.391","0.571","0.599","23.7","7.6","8.8","0.8","0.6","3.8","31.3","32.5","40.1","13.4","115.2","113.8"
"","Trae Young","Atl","G","26.3","37","35.8","28.1","20","266","0.868","323","0.458","316","0.345","0.487","0.565","23.1","3.4","11.9","1.3","0.2","4.3","26.5","34.9","38.4","10.9","115","115.5"
"","Donovan Mitchell","Cle","G","28.4","37","31.4","29.8","10.2","138","0.826","331","0.495","338","0.408","0.555","0.587","23.1","4.5","4.5","1.5","0.2","2.1","27.6","27.6","32.1","9.9","115.6","108.1"
"","Jaren Jackson Jr.","Mem","F-C","25.3","38","29.3","29","12.2","221","0.778","435","0.566","193","0.347","0.552","0.596","22.8","6.4","2.1","1.5","1.7","2.3","29.1","24.8","31.2","9.2","114.4","101.3"
"","Stephen Curry","Gol","G","36.8","31","31.5","28.6","15.7","107","0.935","193","0.513","329","0.41","0.578","0.618","22.7","5.1","6.1","1.2","0.5","3.1","27.8","28.8","33.9","11.3","116.3","111.3"
"","RJ Barrett","Tor","F-G","24.6","32","33.7","29.7","15.5","186","0.699","400","0.518","177","0.328","0.51","0.545","22.4","6.6","5.8","0.8","0.4","3.3","29.1","28.3","34.9","11.3","106.4","114.6"
"","Brandon Ingram","Nor","F","27.4","18","33.1","30.2","17.1","55","0.855","218","0.514","115","0.374","0.53","0.56","22.2","5.6","5.2","0.9","0.6","3.8","27.8","27.4","32.9","10.4","103.3","114.8"
"","CJ McCollum","Nor","G","33.3","28","33.4","27.1","8","89","0.685","283","0.512","234","0.372","0.533","0.55","21.9","3.6","3.9","0.8","0.5","1.6","25.5","25.8","29.4","8.1","111.4","117.2"
"","Zion Williamson","Nor","F","24.5","9","29.6","34.1","17.8","80","0.638","138","0.5","10","0.2","0.486","0.532","21.7","7.6","5.3","1.3","1","3.6","29.2","27","34.6","12.9","105.5","111.1"
"","Trey Murphy III","Nor","F","24.6","25","34.4","23.8","9.1","104","0.923","180","0.567","221","0.357","0.55","0.601","21.5","4.8","2.8","1.2","0.7","1.6","26.2","24.3","29","7.7","119","116.4"
"","Jordan Poole","Was","G","25.6","31","31","29.2","18.7","146","0.856","221","0.471","275","0.404","0.545","0.594","21.5","2.8","4.8","1.5","0.5","3.7","24.3","26.3","29.1","8.5","106.9","114.6"
"","James Harden","Lac","G","35.4","36","33.8","30.2","22.9","252","0.881","276","0.442","296","0.348","0.483","0.567","21.5","5.9","7.9","1.4","0.7","4.7","27.5","29.5","35.4","11.8","107.6","106.6"
"","Ja Morant","Mem","G","25.4","23","28.3","32.7","19.6","149","0.819","262","0.5","116","0.31","0.489","0.555","21.4","4.3","7.3","1.2","0.3","4","25.7","28.7","33","12.4","109","108.4"
"","Brandon Miller","Cha","F","22.1","26","34.3","27.3","13","75","0.893","190","0.468","283","0.357","0.508","0.542","21.1","4.8","3.7","1","0.7","2.7","25.9","24.7","29.6","8.4","106.1","110.2"
"","DeMar DeRozan","Sac","G-F","35.4","35","35.6","24.4","8.3","186","0.86","489","0.507","87","0.322","0.503","0.562","21.1","3.7","3.9","1.3","0.4","1.5","24.9","25.1","28.8","7.6","115.9","112.3"
"","Jalen Green","Hou","G","22.9","38","33","26.6","12","155","0.871","349","0.499","304","0.345","0.508","0.553","21","4.4","2.6","1","0.3","2.3","25.4","23.6","28","7.5","110.2","107.7"
"","Darius Garland","Cle","G","25","38","30.3","27","13.8","126","0.905","314","0.561","262","0.424","0.595","0.633","21","2.5","6.7","1.1","0.2","2.4","23.5","27.8","30.2","9.3","124.1","109.8"
"","Jalen Williams","Okc","G-F","23.8","39","32.4","27.4","12.1","141","0.794","460","0.535","195","0.344","0.529","0.561","20.6","5.7","5.2","1.8","0.7","2.3","26.3","25.8","31.5","10.5","111.7","99.8"
"","Domantas Sabonis","Sac","F-C","28.7","37","36.1","21.7","17.6","154","0.773","411","0.628","89","0.472","0.642","0.67","20.6","14.1","6.3","0.7","0.5","2.9","34.7","26.9","41","13.6","129.7","103.4"
"","Scottie Barnes","Tor","F-G","23.5","27","34.7","26.7","17.2","118","0.729","312","0.551","140","0.286","0.513","0.546","20.4","8.1","6.4","1.5","0.9","3.5","28.5","26.7","34.9","11.7","106.7","114.2"
"","Nikola Vucevic","Chi","C","34.2","39","32.1","22.5","9.7","82","0.793","394","0.619","184","0.429","0.627","0.643","20.3","10.2","3.3","0.8","0.7","1.6","30.5","23.5","33.7","11","124.9","110.6"
"","Lauri Markkanen","Uta","F-C","27.7","31","31.7","24.3","8.6","154","0.883","198","0.51","260","0.365","0.532","0.592","20.1","6.1","1.9","0.8","0.3","1.4","26.2","22","28.1","7.8","121.7","116.7"
"","Pascal Siakam","Ind","F","30.8","41","33.1","23.1","8","144","0.75","426","0.57","181","0.414","0.586","0.611","20","7.3","3.3","0.9","0.3","1.3","27.3","23.2","30.6","9.5","122.2","110.5"
"","Jalen Johnson","Atl","F","23.1","32","36.4","22.4","16.4","113","0.752","362","0.577","133","0.331","0.556","0.583","19.8","10.2","5.3","1.5","1.1","3","30","25.1","35.3","11.2","111.4","110.9"
"","Jamal Murray","Den","G","27.9","33","35.9","23.5","12.3","122","0.852","343","0.484","189","0.381","0.515","0.557","19.8","3.9","6","1.5","0.6","2.3","23.7","25.8","29.7","8.6","112.6","112.8"
"","Cameron Johnson","Bro","F","28.9","33","32.5","22.1","11.2","126","0.897","179","0.598","250","0.428","0.624","0.669","19.6","4.2","3","0.8","0.5","1.6","23.8","22.6","26.8","7.7","125.9","115.6"
"","Julius Randle","Min","F-C","30.1","39","33","25.9","17.5","212","0.811","368","0.543","183","0.35","0.537","0.593","19.6","7.1","4.4","0.6","0.2","3","26.7","24","31.1","10.3","114.7","105.9"
"","De'Andre Hunter","Atl","F-G","27.1","27","27.8","24.6","10.1","131","0.855","185","0.514","171","0.433","0.579","0.633","19.4","4","1.5","0.9","0.1","1.5","23.4","20.9","24.9","7","119.9","111.3"
"","Alperen Sengun","Hou","C","22.5","38","31.5","26.7","14.3","191","0.723","536","0.521","56","0.214","0.502","0.541","19.3","10.5","5","1.3","0.9","2.6","29.7","24.3","34.8","12.8","114.3","99.4"
"","Evan Mobley","Cle","C","23.6","37","30.5","23.2","13.9","154","0.773","361","0.62","105","0.429","0.626","0.658","19","9","2.9","0.9","1.4","2","27.9","21.9","30.9","10.4","125.3","105.5"
"","Anfernee Simons","Por","G","25.6","36","32","24.9","13","93","0.914","268","0.496","294","0.364","0.522","0.557","18.7","2.7","5","0.9","0.1","2.3","21.4","23.6","26.3","7.9","111.9","118.7"
"","Michael Porter Jr.","Den","F","26.5","39","34","20.1","9","98","0.714","288","0.611","248","0.411","0.614","0.629","18.7","6.6","2.5","0.7","0.4","1.4","25.2","21.2","27.7","7.9","121.8","111.6"
"","Kristaps Porzingis","Bos","F-C","29.5","16","28.3","25.8","6.4","81","0.84","125","0.52","95","0.347","0.52","0.581","18.6","7.3","1.6","0.7","1.5","0.9","25.8","20.1","27.4","8.5","122","104.2"
"","Coby White","Chi","G","24.9","37","32.8","23.3","14","117","0.889","225","0.533","314","0.363","0.54","0.581","18.5","3.4","4.6","1.1","0.2","2.4","21.9","23.2","26.6","8.1","110.4","114.3"
"","Shaedon Sharpe","Por","G","21.6","31","31.9","24.1","10.8","103","0.796","273","0.557","196","0.311","0.519","0.553","18.4","3.7","2.7","0.9","0.3","1.8","22.1","21.1","24.8","7.1","109.9","118.2"
"","Dennis Schroder","Bro","G","31.3","23","33.6","23.9","15.3","81","0.889","175","0.509","150","0.387","0.542","0.588","18.4","3","6.6","1.1","0.2","2.6","21.4","25","28","8.5","115.1","113.7"
"","Collin Sexton","Uta","G","26","38","28.8","25.9","15.2","132","0.902","348","0.506","174","0.42","0.547","0.595","18.2","2.8","3.9","0.7","0.1","2.5","20.9","22.1","24.9","8.1","115.3","116.5"
"","Austin Reaves","Lal","G","26.6","32","34.8","23","15.3","130","0.815","213","0.516","234","0.359","0.528","0.573","18.1","4.3","5.9","1","0.1","2.5","22.4","24","28.3","8.9","113.3","114.1"
"","Tyrese Haliburton","Ind","G","24.9","40","34.6","21.5","11.6","134","0.858","233","0.562","322","0.36","0.55","0.59","18.1","3.6","8.8","1.3","0.6","1.8","21.7","27","30.5","9.6","125","117.1"
"","Miles Bridges","Cha","F","26.8","23","31.2","25.6","11.3","80","0.888","201","0.517","153","0.294","0.484","0.532","18","7.6","3.7","0.7","0.6","2","25.6","21.7","29.3","10.2","109.4","110.9"
"","John Collins","Uta","F-C","27.3","27","29.9","23.5","16.8","105","0.867","248","0.556","89","0.438","0.583","0.632","17.9","8.3","2.5","1.1","0.9","2.5","26.2","20.4","28.7","9.6","118","109.4"
"","Mikal Bridges","Nyk","G-F","28.4","41","38.8","18.9","9.1","49","0.714","329","0.62","279","0.344","0.572","0.581","17.8","3.2","3.1","1","0.5","1.5","21","21","24.1","5.8","115","115.8"
"","Jaden Ivey","Det","G","22.9","30","29.9","26.3","17.7","116","0.733","259","0.49","154","0.409","0.536","0.569","17.6","4.1","4","0.9","0.4","3","21.7","21.6","25.7","8.8","107.2","110.9"
"","Jimmy Butler","Mia","F","35.3","22","30.8","21.2","10.4","151","0.788","200","0.58","32","0.375","0.578","0.648","17.6","5.5","4.7","1.2","0.4","1.2","23.1","22.3","27.8","10","136.8","112.3"
"","Bradley Beal","Pho","G","31.6","29","32.9","22.9","12.1","68","0.75","252","0.548","156","0.385","0.559","0.579","17.5","3.6","3.3","1.1","0.7","1.9","21.1","20.8","24.3","7.2","109.3","113.2"
"","Malik Monk","Sac","G","26.9","32","31.2","23.7","12.1","91","0.89","224","0.531","227","0.339","0.52","0.56","17.2","3.8","5.4","1","0.5","1.9","20.9","22.6","26.3","9.1","113.6","109.6"
"","Desmond Bane","Mem","G","26.6","31","29.2","23","16.8","82","0.854","225","0.573","182","0.368","0.564","0.597","17.1","5.7","5","1.3","0.5","2.6","22.8","22.1","27.8","10.8","114.2","104.6"
"","Paul George","Phi","F","34.7","26","32.3","25.1","15.4","69","0.812","205","0.478","175","0.354","0.503","0.534","16.8","6","4.7","1.8","0.4","2.7","22.8","21.5","27.5","9.7","104.1","106.2"
"","Jonathan Kuminga","Gol","F","22.3","32","26","27.6","10.6","169","0.639","307","0.502","116","0.345","0.506","0.539","16.8","5","2.2","0.9","0.6","1.6","21.7","18.9","23.9","8.8","107.8","107.8"
"","Dejounte Murray","Nor","G","28.3","24","33.4","26.7","18.8","79","0.81","248","0.435","135","0.296","0.439","0.479","16.7","6.5","7.6","2.3","0.5","3.7","23.2","24.3","30.8","11.2","97.4","112.5"
"","Bennedict Mathurin","Ind","G-F","22.6","41","32.8","21.7","14","169","0.817","341","0.513","173","0.364","0.524","0.575","16.5","6","2","0.6","0.4","2","22.5","18.5","24.5","7.1","108","111.5"
"","Malik Beasley","Det","G","28.1","40","28.3","23.2","7.3","66","0.697","168","0.476","374","0.404","0.565","0.577","16.5","3","1.9","0.9","0.1","1.1","19.5","18.4","21.4","6.4","113.8","113.7"
"","Andrew Wiggins","Gol","F","29.9","33","29.2","22.4","8.8","113","0.788","246","0.496","179","0.397","0.538","0.575","16.5","4.3","2.3","0.9","0.8","1.2","20.9","18.8","23.2","7.5","116.3","110.7"
"","Chet Holmgren","Okc","C-F","22.7","10","26.5","25.1","17.1","49","0.776","74","0.568","37","0.378","0.568","0.619","16.4","8.7","2","0.8","2.6","2.3","25.1","18.4","27.1","9.9","113.4","97.8"
"","Jalen Suggs","Orl","G","23.6","34","29","27.3","17.3","107","0.907","236","0.508","237","0.312","0.488","0.537","16.4","4.1","3.7","1.5","1","2.9","20.5","20.1","24.2","8.7","101.2","101.1"
"","Derrick White","Bos","G","30.5","37","34","19.5","11.6","78","0.833","142","0.592","330","0.379","0.575","0.6","16.4","4.4","4.3","1","1.3","1.7","20.8","20.8","25.2","8","121.2","108.8"
"","Gradey Dick","Tor","G-F","21.2","34","30.7","22.8","11.1","106","0.896","231","0.463","232","0.353","0.497","0.545","16.3","3.4","2.1","0.9","0.2","1.7","19.8","18.4","21.8","6.4","106.8","116.8"
"","Immanuel Quickley","Tor","G","25.6","9","28.5","25.7","11.2","32","0.938","69","0.406","58","0.345","0.457","0.517","16.2","2.2","6.1","0.7","0.1","1.8","18.4","22.3","24.6","8.4","111.8","119"
"","Bam Adebayo","Mia","C-F","27.5","37","34.1","22.6","13.3","155","0.716","408","0.495","94","0.287","0.483","0.523","16.1","9.8","4.6","1.5","0.8","2.1","25.9","20.7","30.5","10.5","110","105.2"
"","O.G. Anunoby","Nyk","F-G","27.5","41","36.4","18.3","9.9","94","0.787","291","0.581","236","0.343","0.551","0.576","16","4.7","1.9","1.4","0.9","1.4","20.6","17.9","22.5","5.7","113.4","110.6"
"","Jordan Clarkson","Uta","G","32.6","22","25.6","28.5","16.1","90","0.811","167","0.467","120","0.342","0.486","0.539","16","3.4","3.8","0.9","0.3","2.5","19.4","19.8","23.2","9.2","106.6","116.6"
"","Devin Vassell","San","G-F","24.4","23","29.2","23.9","10.8","47","0.787","177","0.492","138","0.355","0.51","0.533","15.6","3.8","3.1","1.2","0.4","1.7","19.4","18.7","22.5","7.8","105.3","111.3"
"","Keyonte George","Uta","G","21.2","28","31.5","24.1","19.9","84","0.798","161","0.453","214","0.35","0.495","0.532","15.6","3.4","5.7","0.8","0.2","3.3","19","21.4","24.7","8.5","103.6","117.9"
"","Jared McCain","Phi","G","20.9","23","25.7","25","11.9","56","0.875","141","0.532","133","0.383","0.553","0.589","15.3","2.4","2.6","0.7","0","1.6","17.7","17.9","20.3","7.1","113.3","112.9"
"","Ivica Zubac","Lac","C","27.8","38","32.1","18.8","14.1","112","0.536","415","0.619","0","0","0.619","0.618","15.1","12.7","2.5","0.6","1.2","1.8","27.8","17.6","30.3","9.8","121.8","104.6"
"","Myles Turner","Ind","C-F","28.8","38","31.1","20.3","15.3","115","0.73","239","0.569","187","0.385","0.573","0.6","15.1","7.1","1.5","0.8","2","2","22.1","16.6","23.6","7","108.3","108.9"
"","Fred VanVleet","Hou","G","30.9","36","35.7","18.6","10.1","90","0.822","213","0.465","274","0.325","0.477","0.512","15","4.1","6","1.6","0.5","1.5","19.1","21","25.1","8","115.9","105.6"
"","Jerami Grant","Por","F","30.8","29","32.7","20","10","100","0.82","183","0.383","186","0.382","0.478","0.527","15","3.6","2.3","0.9","1","1.4","18.6","17.3","20.9","6.1","108.5","116.8"
"","Jakob Poeltl","Tor","C","29.3","35","32.1","18.4","16.2","108","0.639","370","0.608","2","0","0.605","0.619","14.8","10.6","2.7","1.2","1.2","2.1","25.4","17.5","28.1","9.4","118.4","108.5"
"","Payton Pritchard","Bos","G","27","39","27.8","19.5","8.6","50","0.84","104","0.615","322","0.413","0.619","0.635","14.6","3.6","3.3","0.9","0.1","1","18.2","17.9","21.5","8","130.3","109.4"
"","Kyle Kuzma","Was","F","29.5","21","27","26.7","14.1","55","0.564","196","0.515","95","0.253","0.471","0.484","14.5","5.2","2.3","0.7","0.2","2.3","19.7","16.8","22","8.3","90.5","117.5"
"","Josh Hart","Nyk","G","29.9","40","37.5","14.7","16.7","109","0.817","242","0.678","138","0.377","0.637","0.669","14.3","9.4","5.5","1.4","0.4","1.9","23.7","19.8","29.2","9.6","132.8","107.4"
"","Tre Mann","Cha","G","23.9","13","24.5","25.8","13.4","21","0.905","101","0.455","60","0.4","0.509","0.537","14.1","2.9","3","0.5","0.3","1.9","17","17.1","20","8.1","106.4","112.4"
"","Jarrett Allen","Cle","C","26.7","39","29.1","15.9","10.9","140","0.736","317","0.707","1","0","0.704","0.726","14.1","10.2","2","1","0.9","1","24.3","16.1","26.3","9.1","144.4","106.6"
"","Deni Avdija","Por","F","24","38","28","21.5","18.9","148","0.784","231","0.528","160","0.356","0.531","0.582","14","6.3","3.3","1","0.6","2.4","20.3","17.2","23.6","9.5","110.9","112.5"
"","Klay Thompson","Dal","G","34.9","35","27.6","21.5","10","37","0.919","148","0.466","276","0.384","0.538","0.556","14","3.4","1.9","0.9","0.4","1.3","17.4","15.9","19.4","6.5","108.4","113.1"
"","Malcolm Brogdon","Was","G","32.1","18","24.9","23.8","13.8","70","0.886","146","0.486","48","0.313","0.482","0.554","13.8","4.1","3.9","0.6","0.3","1.7","17.9","17.8","21.8","9.7","112.6","119.7"
"","Deandre Ayton","Por","C","26.5","29","29.8","18.8","13.8","31","0.613","296","0.598","28","0.214","0.574","0.579","13.5","10","1.4","0.8","1","1.8","23.5","14.9","25","7.7","110.5","111.3"
"","Bobby Portis","Mil","F","29.9","37","25","23.9","9.1","47","0.787","308","0.51","132","0.371","0.524","0.541","13.5","8","2","0.8","0.5","1.2","21.4","15.5","23.5","9.6","109.6","104.7"
"","Christian Braun","Den","G","23.7","38","33","14.8","10.1","98","0.806","259","0.629","98","0.357","0.604","0.637","13.4","4.7","2","1.1","0.6","1.1","18.1","15.4","20.1","6.1","124.6","110.5"
"","Jeremy Sochan","San","F","21.7","22","29.1","19.3","15.1","70","0.729","179","0.587","40","0.275","0.555","0.588","13.4","8","2.6","0.9","0.6","1.8","21.4","16","24","9","115.8","106.1"
"","Aaron Gordon","Den","F","29.3","19","27.6","18.1","12.3","69","0.768","116","0.569","55","0.418","0.588","0.631","13.4","5.6","2.8","0.5","0.3","1.3","18.9","16.2","21.8","8.6","126.6","111.6"
"","Kelly Oubre Jr.","Phi","F-G","29.1","35","32.9","18.3","10","95","0.737","244","0.557","150","0.273","0.501","0.534","13.3","5.7","1.6","1.5","0.5","1.3","19","14.9","20.6","6","108.3","107.3"
"","Tobias Harris","Det","F","32.5","38","32","17.6","9.5","86","0.872","264","0.504","156","0.353","0.513","0.553","13.3","6.4","2.5","0.8","0.8","1.2","19.8","15.8","22.3","7.5","114.1","110.7"
"","Dillon Brooks","Hou","G-F","29","35","32","17.3","7.6","58","0.845","197","0.442","214","0.374","0.504","0.53","13.2","3.9","1.6","0.8","0.3","1","17.2","14.9","18.8","5.4","113.5","103.1"
"","Russell Westbrook","Den","G","36.2","39","27.4","23","21.3","132","0.636","273","0.531","141","0.319","0.513","0.539","13.1","5.1","6.7","1.6","0.6","2.9","18.2","19.7","24.8","11.2","108.2","105.5"
"","Mark Williams","Cha","C","23.1","14","20.7","22.2","12.9","49","0.776","113","0.637","1","0","0.632","0.671","13","8.3","2.1","0.5","0.9","1.2","21.3","15.1","23.4","11.8","132.3","102.7"
"","P.J. Washington","Dal","F","26.4","33","32.2","18.2","13","91","0.758","225","0.458","136","0.375","0.497","0.534","13","7.6","2.1","1.3","1","1.6","20.6","15.1","22.7","7.4","106.6","107.6"
"","Naz Reid","Min","C-F","25.4","39","24.9","21.6","11.2","77","0.779","204","0.559","192","0.375","0.561","0.586","12.9","5.1","1.7","0.8","0.8","1.3","18","14.6","19.7","7.7","112.8","102.1"
"","Moritz Wagner","Orl","F-C","27.7","30","18.8","26.7","16.4","110","0.718","174","0.649","75","0.36","0.616","0.649","12.9","4.9","1.4","0.8","0.4","1.6","17.8","14.3","19.2","9.5","117.1","99.2"
"","D'Angelo Russell","Bro","G","28.9","4","22.2","26.4","16.9","14","0.929","21","0.476","18","0.333","0.487","0.565","12.8","2.3","8.3","2.3","0.5","2","15","21","23.3","11.3","122.6","108"
"","Dyson Daniels","Atl","G","21.8","35","33.4","17.5","12.4","46","0.587","290","0.51","132","0.318","0.5","0.508","12.8","4.9","3.6","3.1","0.8","1.7","17.7","16.4","21.3","7.3","104.2","109.5"
"","Santi Aldama","Mem","F-C","24","34","25.1","18.5","10.7","50","0.72","184","0.592","151","0.391","0.59","0.604","12.7","7","2.8","0.9","0.5","1.2","19.7","15.5","22.5","10","122.2","108.2"
"","Amen Thompson","Hou","G-F","22","36","29.1","17.2","17.6","132","0.697","266","0.613","48","0.25","0.576","0.61","12.6","7.7","2.4","1.2","1.1","1.9","20.3","15","22.8","8.5","118.8","102.3"
"","Ayo Dosunmu","Chi","G","25","30","30.8","16.4","11.8","54","0.796","175","0.611","125","0.32","0.557","0.582","12.6","3.9","4.8","0.8","0.5","1.3","16.5","17.4","21.3","8","119.2","114.2"
"","Khris Middleton","Mil","F","33.4","15","23.6","23.8","16.7","31","0.839","88","0.523","61","0.377","0.54","0.575","12.5","4.1","4.8","0.9","0.1","2","16.5","17.3","21.3","10.6","111.9","103.4"
"","Bilal Coulibaly","Was","G","20.5","34","33.3","17.5","16.4","102","0.775","233","0.489","128","0.297","0.474","0.519","12.4","5.2","3.5","1.4","0.8","2.1","17.6","15.9","21","7.3","103.1","117.5"
"","Keldon Johnson","San","F-G","25.3","35","24.5","21.2","7.6","96","0.76","220","0.564","134","0.284","0.511","0.549","12.4","5.1","1.5","0.7","0.3","0.8","17.6","14","19.1","7.4","112.9","109.6"
"","D'Angelo Russell","Lal","G","28.9","29","26.3","22.1","13.8","53","0.849","143","0.51","168","0.333","0.505","0.537","12.4","2.8","4.7","0.8","0.1","1.7","15.1","17","19.8","8.3","108.3","113.2"
"","Buddy Hield","Gol","G","32.1","39","23.5","21.8","10.3","30","0.9","128","0.508","288","0.375","0.546","0.56","12.3","3.4","1.6","0.8","0.3","1.2","15.7","13.9","17.3","6.9","106.7","107.7"
"","Brook Lopez","Mil","C","36.8","38","31.8","15.5","9.8","51","0.745","167","0.623","200","0.37","0.586","0.601","12.3","4.7","1.6","0.8","1.8","1.1","17.1","13.9","18.7","5.7","115.8","109.4"
"","Terry Rozier","Mia","G","30.8","34","28.9","20.4","12.9","63","0.905","193","0.503","179","0.291","0.47","0.509","12","4.1","2.8","0.6","0.4","1.6","16.1","14.8","18.9","7.1","101.3","110.6"
"","Keegan Murray","Sac","F","24.4","37","35.6","14.8","7.3","41","0.854","192","0.526","213","0.319","0.501","0.521","11.9","7.2","1.4","0.7","0.8","0.9","19.1","13.3","20.5","5.5","110.7","109.4"
